Original_Text,Actual_Label,Predicted_Label,Probability
"I only used this in 20F weather, so haven't gotten to test in warmer temps other than inside. But even when it's like 69-70F inside, I sweat. I wake up with areas below the waist and stuff sweating in the morning too. I didn't have that issue after using this. Last night I went out to dinner with friends and only felt my scalp sweating. My forehead and nose usually always sweat and they stayed pretty dry. And this morning I woke up without sweating in undesirable places. I've only tried this product for one day, but holy moley, even just waking up in the morning not soaked is a huge game changer. I'm concerned about overheating on warmer days though, so may have to just use with some caution. But the instructions technically say only use at night, 1 hour after showing, and don't use during the day. So maybe that's why. Also I had at least followed the 1 hour after showering thing and I did not experience any stinging or pain even in the slightest that some others mentioned. Usually after showering and exfoliating your skin it might be more sensitive immediately after, so if folks are using it immediately after maybe that's why it stings? Lastly, I do use a light moisturizer on my face because my cheeks get dry. I'm not sure if I'm allowed to mention the brand, so it is an Ives and you can figure out the rest. But if you have combination skin, it's not heavy and doesn't leave residue. So it really helps also if you're a sweater.",0,1,0.8517204
"I like this heated eye mask, for the most part, I especially like that it exists in the first place! I was searching Amazon up and down for a heated eye mask that can be worn like a sleeping eye mask to relax my eye muscles after sitting at a computer all day when I finally came across this one. I don't care for the color or the kitty design, but the purple material is velvety soft which I do like.<br /><br />The mask easily covers my head, though I do have a small head, and the strap fits around the back of my head pretty well. I do choose to wear my hair up at night when I use this heating mask otherwise the strap slides up my straight fine hair slowly if I move my head from side to side. And I somehow never wake up with it on, though I'm thinking that has much more to do with me removing it during the middle of the night vs a product error.<br /><br />The power cord is composed of two pieces, the first has one end with a USB and the other as a round female piece. Connected to the mask on the right side is the other piece of the cord. This piece has a male round piece and connects perfectly to the female piece. I imagine this design is intended to allow the cord connected to the mask to easily be pulled out if the person moves during sleep.<br /><br />I plug the cord right into my USB-hub with my phone charger and it works perfectly well.<br /><br />The controls on this are odd, and you are provided zero instructions. There are two buttons I believe one is a (-) that is indented and the other is a (+) that is raised if my memory serves me right. You have to keep one side pressed down until the unit turns on, then I press the indented button because the numbers go up to 60 on this side. The numbers displaced are bizarre and I have no idea what unit of measurement they are - though degrees Celcius makes the most sense.<br /><br />The one thing I wish this product had was sewn in contours for the nose and eye sockets so it was able to lay more flush with your eyes. This would allow your eyes to feel a more direct heat. Usually, to counterbalance this I place one of my arms over the heating mask to apply weight and increase the intensity of the heat.",0,1,0.85081536
"I will spare Nothing for beauty products and I've tried them all and in all price ranges, this beats them all so far. The suprising part is it's also replaced all eye creams I used to use. I put some on a Q tip and dab it around my eyes at night and the skin under my eyes is totally smooth and stays that way all day even under makeup. I'm 58 and as I say, I spare nothing to look my best including a great plastic surgeon so with that kind of money invested in my face I'm not going to skimp on moisturizer. The tube is designed so that cream Never backs up into the tube meaning the moisturizer is Always sterile, great if you've had a procedure or delicate skin. I do a home chemical peel every two weeks on my face, neck and chest every two weeks (ex sun worshiper) and this is the kind of cream that's perfect for the delicate after care of my skin. I also used it after having my whole face lasered at my plastic surgeons office too. I can't say enough about this and it was in all my Christmas stockings for my friends, male and female.<br />Oh, my skin is normal and not overly dry and even at my age I can break out with cystic acne, this did Not contribute to any break outs.",0,1,0.8450474
"Saw this product so just HAD to try it! I bought the double magnets prior, where one set goes behind your lashes and the other set in front and they never really met up properly so I never used them. I don't like the glue because it always takes my real lashes off. So magnetic liner ""YES Please""!  I did watch some YouTube videos prior to buying to see how to put them on properly. I put a thin line on first with no luck, so I put a thicker (much thicker) line on and waited a bit before putting my lashes on. I'm not sure if it is truly magnets that hold them in place or just the goo/glue substance of the liner? I will say that with magnets you feel a ""pull"" sensation where the magnets are drawn together, I never got that feeling with this liner so my guess is... it is more the goo of the liner that holds them on (still better than glue). Either way, I have them on and I hope the goo holds up for the entire day!  :)<br /><br />UPDATE: After wearing these eyelashes for a full day they stayed on without any issues! Be it magnets or goo, I'm thrilled with using this product again and again!",0,1,0.84299076
"I have type 3A hair (naturally curly, coarse and thick) cut into a pixie style. I wear my hair straight more often than not and blow dry with 2 different size round brushes. Since my roots are very curly, I need a smaller flat iron to get to the roots since my hair is short. I've tried using a regular size and it's too large to reach my roots. I've tried probably 6 different flat irons and this one I actually saw on an Instagram post. It doesn't have a temperature setting; you turn it on and that's it. However, this thing gets HOT! The way it feels in your hands is perfect, it's not awkward feeling. The fact the handle is a little thicker makes it easier to hold and it also has grooves so you're able to grip it well while straightening. This is the best flat iron for shorter hair styles!",0,1,0.8425476
"I am as pleased with this manufacturer's argan oil as I have been with a couple other favorites that I purchased from Amazon in the past. I've been using organic cold pressed argan oil on my face and neck & in home made skin creams for many years.  I tried this one because neither of my go to brands were available.  The Nadira brand is stated to be cold-pressed organic, although it's not USDA Certified Organic like the others.<br /><br />Nadir's product has the same earthy odor, and after several months of use I see no difference in the feel, absorbability, or results between this product and the others. Unless I read that the cold-pressed organic claim is false, I would definitely buy it again.",0,1,0.84168315
"Had a few pieces of glitter that wouldn't come off from my last manicure, figured I'd try to just go over them. 6+ THICK coats later and I could still see the dots through the polish. It was so bulky on my nails! Looked like I had on super chunky acrylics, and it wasn't even opaque at that point. It was so thick I ended up taking it off after 2 days (which was a nightmare even using 100% acetone...).<br /><br />As for the colors:<br />-The two middle greens look exactly the same. I had to redo one of my nails and I couldn't figure out which one that I had first used, they look exactly the same on your fingers.<br />-I like the yellow! It isn't green at all, it is safety yellow. I wish it was actually opaque.<br />-The dark green is not as dark as you'd think. As with the yellow I do really like the color, but I'm not going to put 7+ coats on just so it'll look decent.<br /><br />I missed the return period, otherwise I'd probably return this item. Since I really like the colors and I'm stuck with them I'll probably try putting them on my toes since the bad polish will be less noticeable.",0,1,0.8385673
"I haven’t worn mascara in over a year because I just got tired of it flaking, irritating my eyes, globbing two or more lashes together, etc. My lashes are not full but they are long, so mostly I just wanted color, dark gray if possible. Couldn’t find gray, or color only and am too shaky to try dye. So last week, I ordered 6 different brands of black mascara, all at very low cost.<br />I’ve tried them all now, with one coat, with two coats, with remover pads and oil based remover, sleeping overnight without removing, wearing during swim aerobics, wearing all day working in the yard.<br />Some made my lashes clump, some made my lashes stiff, hard, some heavily coated, most flaked off during the day, some smeared during my swim aerobics, some itched, some irritated, some were difficult to apply without getting on my skin, some were difficult to get completely off.<br />The only one that met my needs was QJC Waterproof Mascara.<br />It was the last to arrive and I was really frustrated by that time with the five others I’d already tried, so I wasn’t very hopeful. But I was happily surprised!<br />It went on smoothly without clumping. The applicator is dense and just as fat as others, but I easily avoided marking my skin. It lasted throughout a busy day of swim aerobics, grocery shopping, working in the yard without flaking or smudging. My lashes remained soft throughout the day. I left it on overnight and had no flakes or smudges! And my lashes still felt soft and natural looking. It came off easily with eye makeup remover pads on one eye, and oil based liquid on the other. I ran a makeup cleansing cloth over my eyes after I’d cleaned my eyelashes and there was no trace of mascara. Although I did not try to lengthen my eyelashes, it did so without trying. Other reviews have noted it’s lengthening capability.<br />I’m very pleased with this one. I won’t have to purchase again for a while because it’s a pack of two and very inexpensive!",0,1,0.8376268
"I have tried just about every volumizing powder on the market, from the cheap to the pricey. They are usually pretty similar in results, with the only big differences being scent and applicator.  I used almost the entire bottle of this brand before I gave my opinion, making sure I tried using it in every way one could. Final opinion is: Major Fail. It doesnt come out of the applicator easily,  coming out in tiny chunks rather than powder UNLESS you squeeze the bottle while you shake. That results in product going everywhere and you waste half of it. (See photo of product on my shirt! Chunks!) The amount which DOES manage get in your hair works, but no better than other brands.  I'm disappointed and annoyed with this product and wont purchase it again.",0,1,0.83739316
"First, let me just say ALL NATURAL !!!  I love to find all natural or organic products. This oil is also Frangrance Free.<br />These 5 Oils included in the serum are : Argan Oil , Jojoba Oil , Triticum Borage Oil,  and Sesamum Indicum Oil.<br /> The directions say to drop a few drops and  rub in the palm of your hand and then on face and neck at night. However, I put it on other parts of my skin. It goes on a little oily but absorbs in really well.  It is an anti aging serum so I think I will continue to put it on my face and tops of my hands . ;) A few drops go a long way so this bottle should last for a while. I love products that are all Natural or Organic. I think it is smart to put less Chemicals on and in your body as much as possible.<br /><br />The serum is not too thin but it isn't  thick either. It really only takes a few drops to go a long way. The serum is a fresh honey-yellow color.<br /><br />*Glass Amber bottle with Protective cap<br />*Glass dropper<br />*1.69 ounces / 50 ml<br /><br />  I recommend  this product very much. It has made a difference in my skin with only a few days use.<br />I received this product at a discount for my honest and unbiased opinion and you have gotten just that with this review. Pictures posted and Videos to be posted soon.<br /><br />Regenerating Active 5 Serum for Face with 5 Oils, Ultimate Natural Skin Regenerist with",0,1,0.8367615
